mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lda__learning_decay,param_lda__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
144.14116444587708,4.467247577317997,4.655157279968262,0.027944665527204593,0.5,2,"{'lda__learning_decay': 0.5, 'lda__n_components': 2}",-1399664.5025708494,-1405357.462060703,-1403226.4944211368,-1395397.6986736066,-1393311.153631589,-1399391.4930760232,4545.224690014467,2,-5571980.785937417,-5599823.131261407,-5589560.795849841,-5563655.298691487,-5567133.2320682015,-5578430.648761672,13921.650805848349
132.39704556465148,2.2787561424382625,4.345855379104615,0.041212446287504194,0.5,5,"{'lda__learning_decay': 0.5, 'lda__n_components': 5}",-1455666.9427545068,-1452881.9050372562,-1455248.0767766421,-1451162.9827161937,-1446977.5557018335,-1452387.5112302403,3160.6581214854004,6,-5779208.132861901,-5778095.106549542,-5781211.963690278,-5772131.213546371,-5767653.100069318,-5775659.903343482,5018.088716235528
132.08149271011354,2.76735510898798,4.233382320404052,0.06478561614293339,0.5,10,"{'lda__learning_decay': 0.5, 'lda__n_components': 10}",-1492074.4799299096,-1489553.237998523,-1490460.779755855,-1483406.8904891908,-1483854.699762451,-1487870.0466568507,3557.10403279915,9,-5915642.989563726,-5911877.675562455,-5913404.359126103,-5896093.08406278,-5908360.073022438,-5909075.636267501,6910.543938366541
136.26488194465637,2.207042247731053,4.2083862781524655,0.02119052770973232,0.5,15,"{'lda__learning_decay': 0.5, 'lda__n_components': 15}",-1511795.1405035567,-1508594.5576352766,-1508669.460928593,-1505739.5439176033,-1500841.9381027326,-1507128.1585006202,3681.070488791848,12,-5986786.118370752,-5988179.932417761,-5980511.529279175,-5978775.377632454,-5971519.432709594,-5981154.478081947,5999.666364159784
146.71555919647216,1.3387743183555845,4.302115821838379,0.03775177597861,0.5,20,"{'lda__learning_decay': 0.5, 'lda__n_components': 20}",-1524114.0737309079,-1520501.098365802,-1521866.4859022128,-1517766.1965045165,-1515833.8212773735,-1520016.3577816668,2932.782178435249,15,-6039983.395845377,-6032017.779038719,-6028986.656582275,-6028430.312986867,-6033543.032378828,-6032592.235366413,4151.748174420881
155.22605872154236,1.7873248196882674,4.414596176147461,0.04145392197529043,0.5,25,"{'lda__learning_decay': 0.5, 'lda__n_components': 25}",-1531164.3986263524,-1528300.7301560664,-1532779.8382327964,-1528673.058434852,-1521721.3081662366,-1528527.8786193356,3779.7338726152175,19,-6063732.802762505,-6058949.824178178,-6070757.375208905,-6067537.840048259,-6049867.431172136,-6062169.054673998,7303.722336675588
169.53832755088806,3.6123733083011347,4.520814323425293,0.021189177933927855,0.5,30,"{'lda__learning_decay': 0.5, 'lda__n_components': 30}",-1536658.984261139,-1537925.9952154548,-1544887.6142082964,-1536920.9065395545,-1535007.4176242994,-1538280.17381653,3434.239155111781,23,-6087705.554269257,-6098256.748289623,-6120697.636930408,-6098148.546076963,-6103522.319047335,-6101666.160922717,10812.387792280684
203.62719731330873,0.7228092776152395,4.627039813995362,0.059607773823354686,0.5,35,"{'lda__learning_decay': 0.5, 'lda__n_components': 35}",-1545665.3819928998,-1550541.32380655,-1557617.224019281,-1547288.1220533298,-1546866.6572405766,-1549595.7270855764,4323.390394365244,24,-6120661.9800604135,-6147951.898777471,-6168865.133049242,-6138860.337919251,-6144249.334965541,-6144117.736954384,15523.946047842492
156.15084261894225,1.4408222541921485,4.886352300643921,0.049793027908840014,0.7,2,"{'lda__learning_decay': 0.7, 'lda__n_components': 2}",-1398818.8732290473,-1402314.1715044237,-1398845.84590213,-1396620.951633006,-1398904.2710377015,-1399100.8371346637,1825.3002298330282,1,-5569463.706612171,-5587465.403173195,-5572271.696683841,-5568537.560246471,-5590475.589832809,-5577642.791309698,9378.867079126954
154.57621665000914,2.5852142290668705,4.8801037788391115,0.07690947054311484,0.7,5,"{'lda__learning_decay': 0.7, 'lda__n_components': 5}",-1451895.970026422,-1450157.7422050103,-1450508.8555172062,-1449993.4222419797,-1442842.923884631,-1449079.8020018907,3189.608882809831,5,-5762613.818346653,-5760109.152428258,-5759902.585652697,-5763642.720963668,-5749726.811089484,-5759199.017696152,4948.806185573716
145.14718008041382,1.799415607881059,4.536435461044311,0.056410469361098683,0.7,10,"{'lda__learning_decay': 0.7, 'lda__n_components': 10}",-1486774.5597916183,-1483865.8723064854,-1484734.1149681301,-1483265.7290230682,-1476839.4053480916,-1483095.958251661,3346.0874648817503,8,-5895582.826530443,-5893363.022629937,-5888140.323596514,-5890496.3029769985,-5880368.989450563,-5889590.293036891,5255.466705715397
145.24715542793274,2.5137630801214623,4.473949718475342,0.04025356352902523,0.7,15,"{'lda__learning_decay': 0.7, 'lda__n_components': 15}",-1505875.1598850426,-1500783.3734102391,-1502055.8597176226,-1502397.215611249,-1496222.1491646082,-1501466.7699496027,3118.32477139406,11,-5963395.41008471,-5955865.754949472,-5954647.060393882,-5959895.78348696,-5953544.568352076,-5957469.71545342,3659.139615188789
150.98330669403077,2.8638203564423272,4.477076673507691,0.03061078645417075,0.7,20,"{'lda__learning_decay': 0.7, 'lda__n_components': 20}",-1520494.3250548872,-1516510.0565845794,-1516033.2055435672,-1512342.43043367,-1509520.133241219,-1514980.0649520012,3758.3274248562216,14,-6019607.359893898,-6014747.639719803,-6008091.126057653,-6003703.743192598,-6004346.0903333435,-6010099.191839458,6165.153622839943
